model,provider,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,total_tokens,total_cost,message_count,占比(%)
MiniMax-M2.7,minimax-cn-coding-plan,9995147,1524510,0,253007935,15590475,280118067.0,0,3169,100.00%
gemini-3.1-pro-preview,google,7087827,282424,158242,66046099,0,73574592.0,40.043213,801,20.80%
minimax-m2.7,opencode-go,1860441,288553,0,58176982,4857763,65183739.0,4.395015,736,15.56%
mimo-v2-pro,opencode-go,4120958,117892,47676,54002624,0,58289150.0,21.046573,368,12.22%
mimo-v2-pro,xiaomi-token-plan-cn,802830,66077,15741,23991808,0,24860715.0,0,200,4.95%
mimo-v2-omni,opencode-go,1048915,37238,112290,23047296,0,24245739.0,2.562406,253,4.61%
gemini-3.1-flash-lite-preview,google,5127597,130863,44574,17437423,0,22740457.0,1.98099,263,4.14%
gpt-5.4,opencode,1365807,123097,84133,12903040,0,14476077.0,9.748728,276,2.57%
big-pickle,opencode,1094605,51772,0,3510160,0,4656537.0,0,105,0.82%
claude-haiku-4-5,opencode,837,65484,0,3665497,468922,4200740.0,1.280959,153,0.73%
gpt-5-nano,opencode,2447412,138117,105664,1284352,0,3869881.0,0,135,0.67%
gpt-5.2-codex,openai,341325,33229,12288,2373376,0,2747930.0,0,115,0.47%
glm-5.1,opencode-go,599344,10522,0,1674944,0,2284810.0,1.320864,19,0.39%
gemini-flash-latest,google,342215,12291,1769,952186,0,1308461.0,0.209228,13,0.22%
gemini-3-flash-preview,google,102645,2440,33264,228224,0,366573.0,0.169846,17,0.06%

TOTAL,,,,,,,582923468.0,82.757821,6623,100%
